"Country or Area","Year(s)","Variant","Value"
"Iran (Islamic Republic of)","2086","Upper 80 PI","99649.698"
"Iran (Islamic Republic of)","2086","Lower 80 PI","73792.609"
"Iran (Islamic Republic of)","2086","Upper 95 PI","109041.03"
"Iran (Islamic Republic of)","2086","Lower 95 PI","67298.394"
"Iran (Islamic Republic of)","2085","Medium","86792.827"
"Iran (Islamic Republic of)","2085","High","113740.102"
"Iran (Islamic Republic of)","2085","Low","65072.075"
"Iran (Islamic Republic of)","2085","Constant fertility","86795.895"
"Iran (Islamic Republic of)","2085","Instant replacement","110493.615"
"Iran (Islamic Republic of)","2085","Zero migration","90322.424"
"Iran (Islamic Republic of)","2085","Constant mortality","73080.909"
"Iran (Islamic Republic of)","2085","No change","73067.157"
"Iran (Islamic Republic of)","2085","Momentum","99540.457"
"Iran (Islamic Republic of)","2085","Instant replacement zero migration","114465.645"
"Iran (Islamic Republic of)","2085","Median PI","86792.828"
"Iran (Islamic Republic of)","2085","Upper 80 PI","99817.507"
"Iran (Islamic Republic of)","2085","Lower 80 PI","74483.814"
"Iran (Islamic Republic of)","2085","Upper 95 PI","109220.576"
"Iran (Islamic Republic of)","2085","Lower 95 PI","67990.845"
"Iran (Islamic Republic of)","2084","Medium","87274.584"
"Iran (Islamic Republic of)","2084","High","113568.216"
"Iran (Islamic Republic of)","2084","Low","65966.594"
"Iran (Islamic Republic of)","2084","Constant fertility","87290.416"
"Iran (Islamic Republic of)","2084","Instant replacement","110428.553"
"Iran (Islamic Republic of)","2084","Zero migration","90746.648"
"Iran (Islamic Republic of)","2084","Constant mortality","73625.96"
"Iran (Islamic Republic of)","2084","No change","73625.709"
"Iran (Islamic Republic of)","2084","Momentum","99531.375"
"Iran (Islamic Republic of)","2084","Instant replacement zero migration","114327.721"
"Iran (Islamic Republic of)","2084","Median PI","87274.584"
"Iran (Islamic Republic of)","2084","Upper 80 PI","100008.816"
"Iran (Islamic Republic of)","2084","Lower 80 PI","75153.693"
"Iran (Islamic Republic of)","2084","Upper 95 PI","109215.603"
"Iran (Islamic Republic of)","2084","Lower 95 PI","68714.383"
"Iran (Islamic Republic of)","2083","Medium","87763.916"
"Iran (Islamic Republic of)","2083","High","113415.503"
"Iran (Islamic Republic of)","2083","Low","66871.122"
"Iran (Islamic Republic of)","2083","Constant fertility","87796.154"
"Iran (Islamic Republic of)","2083","Instant replacement","110376.223"
"Iran (Islamic Republic of)","2083","Zero migration","91178.079"
"Iran (Islamic Republic of)","2083","Constant mortality","74166.975"
"Iran (Islamic Republic of)","2083","No change","74183.687"
"Iran (Islamic Republic of)","2083","Momentum","99520.179"
"Iran (Islamic Republic of)","2083","Instant replacement zero migration","114202.482"
"Iran (Islamic Republic of)","2083","Median PI","87763.916"
"Iran (Islamic Republic of)","2083","Upper 80 PI","100223.465"
"Iran (Islamic Republic of)","2083","Lower 80 PI","75877.098"
"Iran (Islamic Republic of)","2083","Upper 95 PI","109143.754"
"Iran (Islamic Republic of)","2083","Lower 95 PI","69470.8"
"Iran (Islamic Republic of)","2082","Medium","88257.704"
"Iran (Islamic Republic of)","2082","High","113277.486"
"Iran (Islamic Republic of)","2082","Low","67783.238"
"Iran (Islamic Republic of)","2082","Constant fertility","88311.473"
"Iran (Islamic Republic of)","2082","Instant replacement","110335.902"
"Iran (Islamic Republic of)","2082","Zero migration","91613.477"
"Iran (Islamic Republic of)","2082","Constant mortality","74704.625"
"Iran (Islamic Republic of)","2082","No change","74743.217"
"Iran (Islamic Republic of)","2082","Momentum","99509.998"
"Iran (Islamic Republic of)","2082","Instant replacement zero migration","114089.173"
"Iran (Islamic Republic of)","2082","Median PI","88257.704"
"Iran (Islamic Republic of)","2082","Upper 80 PI","100519.122"
"Iran (Islamic Republic of)","2082","Lower 80 PI","76662.96"
"Iran (Islamic Republic of)","2082","Upper 95 PI","109127.075"
"Iran (Islamic Republic of)","2082","Lower 95 PI","70219.426"
"Iran (Islamic Republic of)","2081","Medium","88756.462"
"Iran (Islamic Republic of)","2081","High","113154.773"
"Iran (Islamic Republic of)","2081","Low","68702.579"
"Iran (Islamic Republic of)","2081","Constant fertility","88834.269"
"Iran (Islamic Republic of)","2081","Instant replacement","110306.601"
"Iran (Islamic Republic of)","2081","Zero migration","92053.424"
"Iran (Islamic Republic of)","2081","Constant mortality","75243.757"
"Iran (Islamic Republic of)","2081","No change","75306.603"
"Iran (Islamic Republic of)","2081","Momentum","99504.352"
"Iran (Islamic Republic of)","2081","Instant replacement zero migration","113986.78"
"Iran (Islamic Republic of)","2081","Median PI","88756.462"
"Iran (Islamic Republic of)","2081","Upper 80 PI","100832.764"
"Iran (Islamic Republic of)","2081","Lower 80 PI","77410.917"
"Iran (Islamic Republic of)","2081","Upper 95 PI","109036.345"
"Iran (Islamic Republic of)","2081","Lower 95 PI","70974.406"
"Iran (Islamic Republic of)","2080","Medium","89260.962"
"Iran (Islamic Republic of)","2080","High","113047.4"
"Iran (Islamic Republic of)","2080","Low","69629.443"
"Iran (Islamic Republic of)","2080","Constant fertility","89363.876"
"Iran (Islamic Republic of)","2080","Instant replacement","110288.773"
"Iran (Islamic Republic of)","2080","Zero migration","92498.747"
"Iran (Islamic Republic of)","2080","Constant mortality","75788.153"
"Iran (Islamic Republic of)","2080","No change","75876.234"
"Iran (Islamic Republic of)","2080","Momentum","99506.834"
"Iran (Islamic Republic of)","2080","Instant replacement zero migration","113895.753"
"Iran (Islamic Republic of)","2080","Median PI","89260.962"
"Iran (Islamic Republic of)","2080","Upper 80 PI","101204.502"
"Iran (Islamic Republic of)","2080","Lower 80 PI","78146.959"
"Iran (Islamic Republic of)","2080","Upper 95 PI","108928.38"
"Iran (Islamic Republic of)","2080","Lower 95 PI","71850.098"
"Iran (Islamic Republic of)","2079","Medium","89769.004"
"Iran (Islamic Republic of)","2079","High","112951.534"
"Iran (Islamic Republic of)","2079","Low","70561.692"
"Iran (Islamic Republic of)","2079","Constant fertility","89898.274"
"Iran (Islamic Republic of)","2079","Instant replacement","110281.609"
"Iran (Islamic Republic of)","2079","Zero migration","92947.192"
"Iran (Islamic Republic of)","2079","Constant mortality","76339.913"
"Iran (Islamic Republic of)","2079","No change","76454.385"
"Iran (Islamic Republic of)","2079","Momentum","99521.038"
"Iran (Islamic Republic of)","2079","Instant replacement zero migration","113815.284"
"Iran (Islamic Republic of)","2079","Median PI","89769.004"
"Iran (Islamic Republic of)","2079","Upper 80 PI","101479.314"
"Iran (Islamic Republic of)","2079","Lower 80 PI","78854.528"
"Iran (Islamic Republic of)","2079","Upper 95 PI","108803.386"
"Iran (Islamic Republic of)","2079","Lower 95 PI","72808.886"
"Iran (Islamic Republic of)","2078","Medium","90279.071"
"Iran (Islamic Republic of)","2078","High","112864.344"
"Iran (Islamic Republic of)","2078","Low","71497.364"
"Iran (Islamic Republic of)","2078","Constant fertility","90434.871"
"Iran (Islamic Republic of)","2078","Instant replacement","110283.707"
"Iran (Islamic Republic of)","2078","Zero migration","93397.238"
"Iran (Islamic Republic of)","2078","Constant mortality","76902.054"
"Iran (Islamic Republic of)","2078","No change","77043.036"
"Iran (Islamic Republic of)","2078","Momentum","99550.259"
"Iran (Islamic Republic of)","2078","Instant replacement zero migration","113743.959"
"Iran (Islamic Republic of)","2078","Median PI","90279.071"
"Iran (Islamic Republic of)","2078","Upper 80 PI","101614.749"
"Iran (Islamic Republic of)","2078","Lower 80 PI","79515.379"
"Iran (Islamic Republic of)","2078","Upper 95 PI","108759.316"
"Iran (Islamic Republic of)","2078","Lower 95 PI","73650.667"
"Iran (Islamic Republic of)","2077","Medium","90790.917"
"Iran (Islamic Republic of)","2077","High","112784.391"
"Iran (Islamic Republic of)","2077","Low","72435.512"
"Iran (Islamic Republic of)","2077","Constant fertility","90971.754"
"Iran (Islamic Republic of)","2077","Instant replacement","110294.226"
"Iran (Islamic Republic of)","2077","Zero migration","93848.695"
"Iran (Islamic Republic of)","2077","Constant mortality","77477.794"
"Iran (Islamic Republic of)","2077","No change","77643.777"
"Iran (Islamic Republic of)","2077","Momentum","99597.268"
"Iran (Islamic Republic of)","2077","Instant replacement zero migration","113680.942"
"Iran (Islamic Republic of)","2077","Median PI","90790.917"
"Iran (Islamic Republic of)","2077","Upper 80 PI","101807.539"
"Iran (Islamic Republic of)","2077","Lower 80 PI","80264.796"
"Iran (Islamic Republic of)","2077","Upper 95 PI","108759.42"
"Iran (Islamic Republic of)","2077","Lower 95 PI","74467.002"
"Iran (Islamic Republic of)","2076","Medium","91303.174"
"Iran (Islamic Republic of)","2076","High","112709.088"
"Iran (Islamic Republic of)","2076","Low","73374.039"
"Iran (Islamic Republic of)","2076","Constant fertility","91505.934"
"Iran (Islamic Republic of)","2076","Instant replacement","110311.307"
"Iran (Islamic Republic of)","2076","Zero migration","94300.231"
"Iran (Islamic Republic of)","2076","Constant mortality","78069.78"
"Iran (Islamic Republic of)","2076","No change","78257.69"
"Iran (Islamic Republic of)","2076","Momentum","99664.423"
"Iran (Islamic Republic of)","2076","Instant replacement zero migration","113624.401"
"Iran (Islamic Republic of)","2076","Median PI","91303.174"
"Iran (Islamic Republic of)","2076","Upper 80 PI","102058.168"
"Iran (Islamic Republic of)","2076","Lower 80 PI","81089.084"
"Iran (Islamic Republic of)","2076","Upper 95 PI","108734.626"
"Iran (Islamic Republic of)","2076","Lower 95 PI","75307.231"
"Iran (Islamic Republic of)","2075","Medium","91814.864"
"Iran (Islamic Republic of)","2075","High","112636.299"
"Iran (Islamic Republic of)","2075","Low","74311.291"
"Iran (Islamic Republic of)","2075","Constant fertility","92035.053"
"Iran (Islamic Republic of)","2075","Instant replacement","110333.536"
"Iran (Islamic Republic of)","2075","Zero migration","94750.928"
"Iran (Islamic Republic of)","2075","Constant mortality","78679.918"
"Iran (Islamic Republic of)","2075","No change","78885.331"
"Iran (Islamic Republic of)","2075","Momentum","99753.356"
"Iran (Islamic Republic of)","2075","Instant replacement zero migration","113572.946"
"Iran (Islamic Republic of)","2075","Median PI","91814.864"
"Iran (Islamic Republic of)","2075","Upper 80 PI","102337.268"
"Iran (Islamic Republic of)","2075","Lower 80 PI","81898.707"
"Iran (Islamic Republic of)","2075","Upper 95 PI","108821.865"
"Iran (Islamic Republic of)","2075","Lower 95 PI","76137.788"
"Iran (Islamic Republic of)","2074","Medium","92324.334"
"Iran (Islamic Republic of)","2074","High","112563.227"
"Iran (Islamic Republic of)","2074","Low","75245.045"
"Iran (Islamic Republic of)","2074","Constant fertility","92556.601"
"Iran (Islamic Republic of)","2074","Instant replacement","110358.99"
"Iran (Islamic Republic of)","2074","Zero migration","95199.151"
"Iran (Islamic Republic of)","2074","Constant mortality","79309.034"
"Iran (Islamic Republic of)","2074","No change","79526.696"
"Iran (Islamic Republic of)","2074","Momentum","99864.775"
"Iran (Islamic Republic of)","2074","Instant replacement zero migration","113524.678"
"Iran (Islamic Republic of)","2074","Median PI","92324.334"
"Iran (Islamic Republic of)","2074","Upper 80 PI","102655.69"
"Iran (Islamic Republic of)","2074","Lower 80 PI","82704.899"
"Iran (Islamic Republic of)","2074","Upper 95 PI","108988.809"
"Iran (Islamic Republic of)","2074","Lower 95 PI","77076.129"
"Iran (Islamic Republic of)","2073","Medium","92828.492"
"Iran (Islamic Republic of)","2073","High","112485.311"
"Iran (Islamic Republic of)","2073","Low","76172.289"
"Iran (Islamic Republic of)","2073","Constant fertility","93068.811"
"Iran (Islamic Republic of)","2073","Instant replacement","110386.187"
"Iran (Islamic Republic of)","2073","Zero migration","95641.773"
"Iran (Islamic Republic of)","2073","Constant mortality","79955.325"
"Iran (Islamic Republic of)","2073","No change","80181.261"
"Iran (Islamic Republic of)","2073","Momentum","99998.554"
"Iran (Islamic Republic of)","2073","Instant replacement zero migration","113478.165"
"Iran (Islamic Republic of)","2073","Median PI","92828.492"
"Iran (Islamic Republic of)","2073","Upper 80 PI","102990.468"
"Iran (Islamic Republic of)","2073","Lower 80 PI","83405.651"
"Iran (Islamic Republic of)","2073","Upper 95 PI","109148.176"
"Iran (Islamic Republic of)","2073","Lower 95 PI","77967.623"
"Iran (Islamic Republic of)","2072","Medium","93325.847"
"Iran (Islamic Republic of)","2072","High","112400.469"
"Iran (Islamic Republic of)","2072","Low","77091.141"
"Iran (Islamic Republic of)","2072","Constant fertility","93570.145"
"Iran (Islamic Republic of)","2072","Instant replacement","110413.655"
"Iran (Islamic Republic of)","2072","Zero migration","96077.346"
"Iran (Islamic Republic of)","2072","Constant mortality","80617.817"
"Iran (Islamic Republic of)","2072","No change","80848.012"
"Iran (Islamic Republic of)","2072","Momentum","100153.845"
"Iran (Islamic Republic of)","2072","Instant replacement zero migration","113431.981"
"Iran (Islamic Republic of)","2072","Median PI","93325.847"
"Iran (Islamic Republic of)","2072","Upper 80 PI","103277.161"
"Iran (Islamic Republic of)","2072","Lower 80 PI","84074.88"
"Iran (Islamic Republic of)","2072","Upper 95 PI","109271.774"
"Iran (Islamic Republic of)","2072","Lower 95 PI","78775.046"
"Iran (Islamic Republic of)","2071","Medium","93816.003"
"Iran (Islamic Republic of)","2071","High","112308.709"
"Iran (Islamic Republic of)","2071","Low","78000.261"
"Iran (Islamic Republic of)","2071","Constant fertility","94058.498"
"Iran (Islamic Republic of)","2071","Instant replacement","110439.05"
"Iran (Islamic Republic of)","2071","Zero migration","96505.583"
"Iran (Islamic Republic of)","2071","Constant mortality","81296.628"
"Iran (Islamic Republic of)","2071","No change","81525.417"
"Iran (Islamic Republic of)","2071","Momentum","100329.016"
"Iran (Islamic Republic of)","2071","Instant replacement zero migration","113383.836"
"Iran (Islamic Republic of)","2071","Median PI","93816.003"
"Iran (Islamic Republic of)","2071","Upper 80 PI","103448.71"
"Iran (Islamic Republic of)","2071","Lower 80 PI","84758.459"
